Date,Average Price of Premium Quality Rice,Average Price of Medium Quality Rice,Average Price of Bad Quality Rice,Harvest Area (10^6 ha),Produksi Padi Nasional (10^6 Ton),Produksi Beras Nasional (10^6 Ton),Productivity (ku/ha)
2018-01-01,10349.91,10177.05,9792.59,0.54,2.78,1.59,51.48
2018-02-01,10381.74,10215.16,9987.1,1.07,5.74,3.29,53.64
2018-03-01,9892.56,9698.23,9554.06,1.77,9.68,5.55,54.69
2018-04-01,9524.96,9220.84,8991.36,1.41,7.60,4.36,53.9
2018-05-01,9523.88,9190.37,9001.5,1.00,4.90,2.81,49
2018-06-01,9478.05,9135.41,8941.38,0.89,4.49,2.57,50.45
2018-07-01,9519.93,9197.78,9014.56,1.07,5.43,3.12,50.75
2018-08-01,9458.07,9172.27,8976.97,1.09,5.37,3.08,49.27
2018-09-01,9572.03,9309.98,9125,1.01,5.18,2.97,51.29
2018-10-01,9645.3,9395.39,9193.73,0.63,3.32,1.91,52.7
2018-11-01,9770.97,9603.63,9425.68,0.52,2.80,1.61,53.85
2018-12-01,9818.07,9798.38,9432.32,0.37,1.89,1.08,51.08
2019-01-01,10111.08,9902.68,9536.3,0.41,2.04,1.17,49.76
2019-02-01,10007.91,9799.57,9474.5,0.73,3.63,2.08,49.73
2019-03-01,9814.53,9555.35,9271.13,1.72,9.17,5.25,53.31
2019-04-01,9464.68,9144.2,8936.36,1.68,8.94,5.12,53.21
2019-05-01,9462.05,9142.52,8953.33,0.92,4.37,2.50,47.5
2019-06-01,9515.51,9166.4,9011.62,0.88,4.31,2.47,48.98
2019-07-01,9519.35,9211.03,8931.02,0.95,4.64,2.66,48.84
2019-08-01,9530,9224,9048,1.18,5.60,3.21,47.46
2019-09-01,9594.39,9301.08,9140.6,0.08,4.23,2.43,528.75
2019-10-01,9659.17,9433.88,9241.92,0.06,3.31,1.90,551.67
2019-11-01,9742.16,9522.01,9244.95,0.47,2.65,1.52,56.38
2019-12-01,9838.26,9565.59,9252.55,0.32,1.70,0.98,53.13
2020-01-01,10032.66,9805.4,9518.85,0.32,1.62,0.93,50.63
2020-02-01,10080.8,9844.13,9521.95,0.47,4.06,1.32,86.38
2020-03-01,10082.43,9826.68,9460.76,1.19,9.67,3.61,81.26
2020-04-01,10018.19,9671.03,8989,1.86,7.77,5.60,41.77
2020-05-01,9826.63,9526.55,8972.52,1.30,3.95,3.57,30.38
2020-06-01,9918.95,9445.31,8926.15,0.74,4.04,2.05,54.59
2020-07-01,9931.71,9316.3,8919.58,0.89,5.51,2.57,61.91
2020-08-01,9962.65,9334.9,8986.32,1.20,4.16,3.33,34.67
2020-09-01,9871.12,9404.58,9026.05,1.02,4.37,3.14,42.84
2020-10-01,9812.9,9462.81,9146.54,0.78,4.51,2.44,57.82
2020-11-01,9714.5,9384.98,9094.69,0.57,2.66,1.85,46.67
2020-12-01,9787.86,9382.69,9055.5,0.29,2.50,0.93,86.21
2021-01-01,9780.19,9404.74,9036.42,0.41,2.08,1.20,50.73
2021-02-01,9772.1,9386.31,9145.73,0.77,4.06,2.34,52.73
2021-03-01,9606.97,9153.68,8741.8,1.78,9.67,5.57,54.33
2021-04-01,9549.76,8978.86,8675.23,1.46,7.77,4.48,53.22
2021-05-01,9627.08,8909.5,8710.44,0.78,3.95,2.28,50.64
2021-06-01,9537.16,8906.67,8694.95,0.79,4.04,2.33,51.14
2021-07-01,9401.61,8886.9,8481.43,1.07,5.51,3.18,51.5
2021-08-01,9499.36,8915.75,8688.77,0.85,4.16,2.40,48.94
2021-09-01,9455.56,8962.39,8588.59,0.83,4.27,2.46,51.45
2021-10-01,9449.47,9010.82,8630.83,0.74,3.99,2.30,53.92
2021-11-01,9539.29,9071.94,8711.19,0.52,2.87,1.65,55.19
2021-12-01,9672.54,9128.44,8888.5,0.37,2.04,1.17,55.14
